Date, Latitude, Longitude, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
1950-01-01,45.43639626471026,-73.4434154352731,5.38,6.42,7.42,5.38,6.42,7.42,5.38,6.42,7.42,
1951-01-01,45.43639626471026,-73.4434154352731,6.01,6.46,7.58,6.01,6.46,7.58,6.01,6.46,7.58,
1952-01-01,45.43639626471026,-73.4434154352731,5.67,6.41,7.59,5.67,6.41,7.59,5.67,6.41,7.59,
1953-01-01,45.43639626471026,-73.4434154352731,5.59,6.17,7.43,5.59,6.17,7.43,5.59,6.20,7.43,
1954-01-01,45.43639626471026,-73.4434154352731,5.82,6.33,7.63,5.82,6.33,7.63,5.82,6.33,7.63,
1955-01-01,45.43639626471026,-73.4434154352731,5.69,6.58,7.30,5.69,6.58,7.30,5.69,6.58,7.30,
1956-01-01,45.43639626471026,-73.4434154352731,5.79,6.25,7.53,5.79,6.25,7.53,5.79,6.31,7.53,
1957-01-01,45.43639626471026,-73.4434154352731,5.13,6.66,7.32,5.13,6.66,7.32,5.20,6.66,7.32,
1958-01-01,45.43639626471026,-73.4434154352731,5.11,6.19,7.20,5.11,6.19,7.20,5.11,6.19,7.20,
1959-01-01,45.43639626471026,-73.4434154352731,5.29,6.29,7.12,5.29,6.29,7.12,5.36,6.29,7.12,
1960-01-01,45.43639626471026,-73.4434154352731,5.59,6.83,7.61,5.59,6.83,7.61,5.59,6.83,7.61,
1961-01-01,45.43639626471026,-73.4434154352731,5.66,6.33,7.28,5.66,6.33,7.28,5.66,6.38,7.28,
1962-01-01,45.43639626471026,-73.4434154352731,5.64,6.29,6.96,5.64,6.29,6.96,5.73,6.29,6.96,
1963-01-01,45.43639626471026,-73.4434154352731,5.05,6.32,7.21,5.05,6.32,7.21,5.05,6.32,7.21,
1964-01-01,45.43639626471026,-73.4434154352731,4.86,5.94,6.77,4.86,5.94,6.77,4.86,5.94,6.85,
1965-01-01,45.43639626471026,-73.4434154352731,4.94,5.91,6.68,4.94,5.91,6.68,4.94,5.91,6.68,
1966-01-01,45.43639626471026,-73.4434154352731,5.09,6.19,7.09,5.09,6.19,7.09,5.09,6.19,7.09,
1967-01-01,45.43639626471026,-73.4434154352731,5.52,6.20,7.39,5.52,6.20,7.39,5.52,6.20,7.39,
1968-01-01,45.43639626471026,-73.4434154352731,5.33,6.33,6.92,5.33,6.33,6.92,5.33,6.33,6.92,
1969-01-01,45.43639626471026,-73.4434154352731,4.98,6.04,7.07,4.98,6.04,7.07,4.98,6.04,7.07,
1970-01-01,45.43639626471026,-73.4434154352731,5.51,6.24,7.20,5.51,6.24,7.20,5.51,6.24,7.20,
1971-01-01,45.43639626471026,-73.4434154352731,5.35,6.21,7.38,5.35,6.21,7.38,5.35,6.21,7.38,
1972-01-01,45.43639626471026,-73.4434154352731,5.92,6.65,7.32,5.92,6.65,7.32,5.92,6.65,7.32,
1973-01-01,45.43639626471026,-73.4434154352731,5.84,6.50,6.96,5.84,6.50,6.96,5.84,6.50,6.96,
1974-01-01,45.43639626471026,-73.4434154352731,5.06,6.19,7.08,5.06,6.19,7.08,5.14,6.19,7.08,
1975-01-01,45.43639626471026,-73.4434154352731,5.38,6.24,7.41,5.38,6.24,7.41,5.38,6.24,7.41,
1976-01-01,45.43639626471026,-73.4434154352731,5.13,6.35,7.58,5.13,6.35,7.58,5.13,6.35,7.58,
1977-01-01,45.43639626471026,-73.4434154352731,5.29,6.20,7.29,5.29,6.20,7.29,5.29,6.20,7.29,
1978-01-01,45.43639626471026,-73.4434154352731,5.66,6.48,7.31,5.66,6.48,7.31,5.74,6.48,7.31,
1979-01-01,45.43639626471026,-73.4434154352731,5.89,6.61,7.69,5.89,6.61,7.69,5.89,6.61,7.69,
1980-01-01,45.43639626471026,-73.4434154352731,5.53,6.60,7.68,5.53,6.60,7.68,5.52,6.60,7.68,
1981-01-01,45.43639626471026,-73.4434154352731,5.82,7.01,7.87,5.81,7.01,7.86,5.84,7.01,7.87,
1982-01-01,45.43639626471026,-73.4434154352731,5.95,6.84,7.77,5.95,6.84,7.77,5.95,6.84,7.78,
1983-01-01,45.43639626471026,-73.4434154352731,5.43,6.21,6.97,5.43,6.21,6.97,5.43,6.21,6.97,
1984-01-01,45.43639626471026,-73.4434154352731,5.63,6.45,7.21,5.64,6.45,7.22,5.62,6.45,7.21,
1985-01-01,45.43639626471026,-73.4434154352731,5.80,6.60,7.23,5.81,6.60,7.22,5.82,6.60,7.22,
1986-01-01,45.43639626471026,-73.4434154352731,5.68,6.72,7.67,5.69,6.70,7.67,5.69,6.72,7.67,
1987-01-01,45.43639626471026,-73.4434154352731,5.92,6.84,7.67,5.93,6.84,7.67,5.92,6.83,7.67,
1988-01-01,45.43639626471026,-73.4434154352731,5.55,6.82,7.52,5.56,6.82,7.51,5.56,6.85,7.51,
1989-01-01,45.43639626471026,-73.4434154352731,6.31,6.86,7.80,6.31,6.86,7.79,6.31,6.86,7.80,
1990-01-01,45.43639626471026,-73.4434154352731,6.20,7.02,7.73,6.20,7.02,7.73,6.28,7.02,7.73,
1991-01-01,45.43639626471026,-73.4434154352731,6.28,7.08,7.70,6.29,7.08,7.69,6.30,7.08,7.69,
1992-01-01,45.43639626471026,-73.4434154352731,5.22,6.38,7.43,5.23,6.37,7.42,5.23,6.38,7.43,
1993-01-01,45.43639626471026,-73.4434154352731,6.13,6.67,7.58,6.13,6.68,7.59,6.13,6.67,7.58,
1994-01-01,45.43639626471026,-73.4434154352731,6.10,6.97,8.20,6.09,6.97,8.20,6.10,6.97,8.19,
1995-01-01,45.43639626471026,-73.4434154352731,6.26,6.91,8.12,6.26,6.90,8.12,6.25,6.90,8.12,
1996-01-01,45.43639626471026,-73.4434154352731,6.49,7.04,8.05,6.50,7.03,8.06,6.49,7.03,8.06,
1997-01-01,45.43639626471026,-73.4434154352731,6.47,7.11,7.99,6.47,7.11,8.00,6.47,7.11,7.99,
1998-01-01,45.43639626471026,-73.4434154352731,6.17,7.32,7.86,6.16,7.31,7.86,6.16,7.32,7.87,
1999-01-01,45.43639626471026,-73.4434154352731,6.51,7.53,7.84,6.51,7.54,7.85,6.51,7.54,7.85,
2000-01-01,45.43639626471026,-73.4434154352731,6.84,7.57,8.24,6.83,7.56,8.23,6.84,7.56,8.24,
