Restaurants,George[ Edit ],Toronto[ Edit ],Ottawa[ Edit ],Longueuil[ Edit ],Markham[ Edit ],Mississauga[ Edit ],Surrey[ Edit ],North Vancouver[ Edit ],Calgary[ Edit ],Burlington[ Edit ],Waterloo[ Edit ]
"Meal, Inexpensive Restaurant",117.50 R,254.54 R,229.09 R,178.18 R,203.63 R,190.91 R,190.91 R,229.09 R,254.54 R,286.36 R,190.91 R
,(9.23 C$),(20.00 C$),(18.00 C$),(14.00 C$),(16.00 C$),(15.00 C$),(15.00 C$),(18.00 C$),(20.00 C$),(22.50 C$),(15.00 C$)
"Meal for 2 People, Mid-range Restaurant, Three-course",550.00 R,"1,132.71 R",986.35 R,636.35 R,890.90 R,960.89 R,954.53 R,890.90 R,954.53 R,"1,272.71 R",763.62 R
,(43.21 C$),(89.00 C$),(77.50 C$),(50.00 C$),(70.00 C$),(75.50 C$),(75.00 C$),(70.00 C$),(75.00 C$),(100.00 C$),(60.00 C$)
McMeal at McDonalds (or Equivalent Combo Meal),67.50 R,152.72 R,140.00 R,143.18 R,140.00 R,127.27 R,152.72 R,127.27 R,140.00 R,190.91 R,148.27 R
,(5.30 C$),(12.00 C$),(11.00 C$),(11.25 C$),(11.00 C$),(10.00 C$),(12.00 C$),(10.00 C$),(11.00 C$),(15.00 C$),(11.65 C$)
Domestic Beer (0.5 liter draught),30.00 R,89.09 R,89.09 R,76.36 R,82.73 R,76.36 R,89.09 R,76.36 R,89.09 R,95.45 R,63.64 R
,(2.36 C$),(7.00 C$),(7.00 C$),(6.00 C$),(6.50 C$),(6.00 C$),(7.00 C$),(6.00 C$),(7.00 C$),(7.50 C$),(5.00 C$)
Imported Beer (0.33 liter bottle),36.00 R,114.54 R,101.82 R,95.45 R,89.09 R,76.36 R,101.82 R,95.45 R,101.82 R,101.82 R,89.09 R
,(2.83 C$),(9.00 C$),(8.00 C$),(7.50 C$),(7.00 C$),(6.00 C$),(8.00 C$),(7.50 C$),(8.00 C$),(8.00 C$),(7.00 C$)
Cappuccino (regular),27.00 R,55.32 R,52.91 R,42.16 R,42.64 R,52.47 R,57.27 R,63.24 R,56.42 R,53.29 R,47.44 R
,(2.12 C$),(4.35 C$),(4.16 C$),(3.31 C$),(3.35 C$),(4.12 C$),(4.50 C$),(4.97 C$),(4.43 C$),(4.19 C$),(3.73 C$)
Coke/Pepsi (0.33 liter bottle),11.40 R,29.73 R,26.61 R,21.92 R,28.64 R,26.40 R,23.23 R,31.27 R,29.49 R,31.82 R,27.87 R
,(0.90 C$),(2.34 C$),(2.09 C$),(1.72 C$),(2.25 C$),(2.07 C$),(1.82 C$),(2.46 C$),(2.32 C$),(2.50 C$),(2.19 C$)
Water (0.33 liter bottle),9.18 R,23.22 R,20.92 R,14.00 R,19.09 R,22.86 R,22.27 R,29.45 R,26.56 R,23.86 R,19.09 R
,(0.72 C$),(1.82 C$),(1.64 C$),(1.10 C$),(1.50 C$),(1.80 C$),(1.75 C$),(2.31 C$),(2.09 C$),(1.88 C$),(1.50 C$)
Markets,George[ Edit ],Toronto[ Edit ],Ottawa[ Edit ],Longueuil[ Edit ],Markham[ Edit ],Mississauga[ Edit ],Surrey[ Edit ],North Vancouver[ Edit ],Calgary[ Edit ],Burlington[ Edit ],Waterloo[ Edit ]
"Milk (regular), (1 liter)",14.00 R,39.44 R,32.15 R,24.05 R,29.23 R,24.32 R,30.14 R,32.61 R,31.32 R,46.14 R,29.06 R
,(1.10 C$),(3.10 C$),(2.53 C$),(1.89 C$),(2.30 C$),(1.91 C$),(2.37 C$),(2.56 C$),(2.46 C$),(3.62 C$),(2.28 C$)
Loaf of Fresh White Bread (500g),12.43 R,36.37 R,36.67 R,44.24 R,33.94 R,38.67 R,34.46 R,46.16 R,33.62 R,44.39 R,35.22 R
,(0.98 C$),(2.86 C$),(2.88 C$),(3.48 C$),(2.67 C$),(3.04 C$),(2.71 C$),(3.63 C$),(2.64 C$),(3.49 C$),(2.77 C$)
"Rice (white), (1kg)",17.50 R,45.80 R,49.23 R,31.12 R,26.76 R,41.00 R,82.73 R,38.18 R,38.03 R,48.79 R,51.08 R
,(1.38 C$),(3.60 C$),(3.87 C$),(2.45 C$),(2.10 C$),(3.22 C$),(6.50 C$),(3.00 C$),(2.99 C$),(3.83 C$),(4.01 C$)
Eggs (regular) (12),37.67 R,43.97 R,41.27 R,42.37 R,50.24 R,42.72 R,45.61 R,56.48 R,42.86 R,47.38 R,38.31 R
,(2.96 C$),(3.45 C$),(3.24 C$),(3.33 C$),(3.95 C$),(3.36 C$),(3.58 C$),(4.44 C$),(3.37 C$),(3.72 C$),(3.01 C$)
Local Cheese (1kg),100.00 R,236.21 R,152.84 R,171.75 R,93.33 R,182.09 R,191.01 R,191.00 R,174.17 R,333.03 R,127.27 R
,(7.86 C$),(18.56 C$),(12.01 C$),(13.50 C$),(7.33 C$),(14.31 C$),(15.01 C$),(15.01 C$),(13.69 C$),(26.17 C$),(10.00 C$)
Chicken Fillets (1kg),60.00 R,167.35 R,167.33 R,165.45 R,363.99 R,177.31 R,164.74 R,137.47 R,167.17 R,144.66 R,200.45 R
,(4.71 C$),(13.15 C$),(13.15 C$),(13.00 C$),(28.60 C$),(13.93 C$),(12.94 C$),(10.80 C$),(13.14 C$),(11.37 C$),(15.75 C$)
Beef Round (1kg) (or Equivalent Back Leg Red Meat),140.00 R,205.78 R,207.81 R,190.91 R,137.54 R,228.81 R,202.00 R,169.70 R,193.49 R,216.36 R,146.36 R
,(11.00 C$),(16.17 C$),(16.33 C$),(15.00 C$),(10.81 C$),(17.98 C$),(15.87 C$),(13.33 C$),(15.20 C$),(17.00 C$),(11.50 C$)
Apples (1kg),22.67 R,48.46 R,50.18 R,31.82 R,29.12 R,52.27 R,48.32 R,74.81 R,52.33 R,58.86 R,40.37 R
,(1.78 C$),(3.81 C$),(3.94 C$),(2.50 C$),(2.29 C$),(4.11 C$),(3.80 C$),(5.88 C$),(4.11 C$),(4.62 C$),(3.17 C$)
Banana (1kg),20.00 R,21.69 R,18.76 R,23.23 R,24.11 R,20.08 R,20.28 R,25.41 R,22.98 R,13.30 R,17.15 R
,(1.57 C$),(1.70 C$),(1.47 C$),(1.82 C$),(1.89 C$),(1.58 C$),(1.59 C$),(2.00 C$),(1.81 C$),(1.05 C$),(1.35 C$)
Oranges (1kg),27.33 R,48.73 R,54.40 R,47.73 R,34.81 R,48.66 R,53.07 R,66.67 R,48.73 R,78.20 R,44.12 R
,(2.15 C$),(3.83 C$),(4.27 C$),(3.75 C$),(2.73 C$),(3.82 C$),(4.17 C$),(5.24 C$),(3.83 C$),(6.14 C$),(3.47 C$)
Tomato (1kg),24.00 R,44.77 R,46.18 R,36.59 R,38.57 R,54.17 R,89.50 R,40.41 R,53.15 R,80.75 R,44.78 R
,(1.89 C$),(3.52 C$),(3.63 C$),(2.88 C$),(3.03 C$),(4.26 C$),(7.03 C$),(3.18 C$),(4.18 C$),(6.34 C$),(3.52 C$)
Potato (1kg),19.00 R,38.49 R,29.63 R,31.07 R,15.47 R,38.55 R,42.08 R,40.61 R,36.69 R,61.04 R,48.45 R
,(1.49 C$),(3.02 C$),(2.33 C$),(2.44 C$),(1.22 C$),(3.03 C$),(3.31 C$),(3.19 C$),(2.88 C$),(4.80 C$),(3.81 C$)
Onion (1kg),13.33 R,34.66 R,25.75 R,19.09 R,20.64 R,37.87 R,47.68 R,38.45 R,28.49 R,40.65 R,38.22 R
,(1.05 C$),(2.72 C$),(2.02 C$),(1.50 C$),(1.62 C$),(2.98 C$),(3.75 C$),(3.02 C$),(2.24 C$),(3.19 C$),(3.00 C$)
Lettuce (1 head),12.50 R,28.60 R,31.86 R,23.55 R,19.51 R,30.69 R,50.78 R,42.29 R,32.49 R,35.13 R,26.70 R
,(0.98 C$),(2.25 C$),(2.50 C$),(1.85 C$),(1.53 C$),(2.41 C$),(3.99 C$),(3.32 C$),(2.55 C$),(2.76 C$),(2.10 C$)
Water (1.5 liter bottle),16.75 R,26.20 R,21.94 R,25.45 R,16.97 R,27.60 R,33.03 R,31.82 R,28.34 R,26.41 R,30.52 R
,(1.32 C$),(2.06 C$),(1.72 C$),(2.00 C$),(1.33 C$),(2.17 C$),(2.59 C$),(2.50 C$),(2.23 C$),(2.08 C$),(2.40 C$)
Bottle of Wine (Mid-Range),52.50 R,216.36 R,190.91 R,190.91 R,184.54 R,178.18 R,216.36 R,235.45 R,210.00 R,203.63 R,178.18 R
,(4.13 C$),(17.00 C$),(15.00 C$),(15.00 C$),(14.50 C$),(14.00 C$),(17.00 C$),(18.50 C$),(16.50 C$),(16.00 C$),(14.00 C$)
Domestic Beer (0.5 liter bottle),27.58 R,42.12 R,31.01 R,20.49 R,32.97 R,42.01 R,22.27 R,25.45 R,49.88 R,41.15 R,31.18 R
,(2.17 C$),(3.31 C$),(2.44 C$),(1.61 C$),(2.59 C$),(3.30 C$),(1.75 C$),(2.00 C$),(3.92 C$),(3.23 C$),(2.45 C$)
Imported Beer (0.33 liter bottle),16.00 R,47.54 R,38.19 R,25.45 R,25.45 R,38.62 R,35.00 R,66.82 R,57.07 R,44.54 R,38.39 R
,(1.26 C$),(3.74 C$),(3.00 C$),(2.00 C$),(2.00 C$),(3.03 C$),(2.75 C$),(5.25 C$),(4.48 C$),(3.50 C$),(3.02 C$)
Cigarettes 20 Pack (Marlboro),55.00 R,190.91 R,197.27 R,152.72 R,197.27 R,184.54 R,190.91 R,194.09 R,210.00 R,165.45 R,190.91 R
,(4.32 C$),(15.00 C$),(15.50 C$),(12.00 C$),(15.50 C$),(14.50 C$),(15.00 C$),(15.25 C$),(16.50 C$),(13.00 C$),(15.00 C$)
Transportation,George[ Edit ],Toronto[ Edit ],Ottawa[ Edit ],Longueuil[ Edit ],Markham[ Edit ],Mississauga[ Edit ],Surrey[ Edit ],North Vancouver[ Edit ],Calgary[ Edit ],Burlington[ Edit ],Waterloo[ Edit ]
One-way Ticket (Local Transport),12.00 R,41.36 R,45.44 R,41.36 R,50.91 R,47.73 R,38.18 R,36.91 R,44.54 R,44.54 R,41.36 R
,(0.94 C$),(3.25 C$),(3.57 C$),(3.25 C$),(4.00 C$),(3.75 C$),(3.00 C$),(2.90 C$),(3.50 C$),(3.50 C$),(3.25 C$)
Monthly Pass (Regular Price),?,"1,923.70 R","1,520.89 R","1,686.34 R","1,909.06 R","1,686.34 R","1,527.25 R","1,304.52 R","1,387.25 R","1,272.71 R","1,145.44 R"
