Office,City,Long,Lat
IBM Toronto Software Lab,Toronto,43.8488,-79.3385
IBM Corporate Office,Calgary,51.0423,-114.0676
IBM Computer Softawre Store,Edmonton,53.54,-113.507
Office,Ottowa,45.418545,-75.702486
Office,Ottowa,45.340716,-75.69041
Corporate Office,Winnipeg,49.893988,-97.14578
Support Services,Montreal,45.444083,-73.725813
Office,Montreal,45.510623,-73.556923
Head Office,Montreal,45.501748,-73.568176
Office,Burnaby,49.255691,-122.995169
Head Office,Victoria,48.430433,-123.363733
Corporate Office,Hamilton,43.25655,-79.869866
Client Innovation Centre,Bedford,44.723732,-63.695233
Head Office,Markham,43.81815,-79.335459
